,name,breed
0,Abyssinian,Cat
1,American Bobtail,Cat
2,American Curl,Cat
3,American Shorthair,Cat
4,American Wirehair,Cat
5,Applehead Siamese,Cat
6,Balinese,Cat
7,Bengal,Cat
8,Birman,Cat
9,Bombay,Cat
10,British Shorthair,Cat
11,Burmese,Cat
12,Burmilla,Cat
13,Calico,Cat
14,Canadian Hairless,Cat
15,Chartreux,Cat
16,Chausie,Cat
17,Chinchilla,Cat
18,Cornish Rex,Cat
19,Cymric,Cat
20,Devon Rex,Cat
21,Dilute Calico,Cat
22,Dilute Tortoiseshell,Cat
23,Domestic Long Hair,Cat
24,Domestic Medium Hair,Cat
25,Domestic Short Hair,Cat
26,Egyptian Mau,Cat
27,Exotic Shorthair,Cat
28,Extra-Toes Cat / Hemingway Polydactyl,Cat
29,Havana,Cat
30,Himalayan,Cat
31,Japanese Bobtail,Cat
32,Javanese,Cat
33,Korat,Cat
34,LaPerm,Cat
35,Maine Coon,Cat
36,Manx,Cat
37,Munchkin,Cat
38,Nebelung,Cat
39,Norwegian Forest Cat,Cat
40,Ocicat,Cat
41,Oriental Long Hair,Cat
42,Oriental Short Hair,Cat
43,Oriental Tabby,Cat
44,Persian,Cat
45,Pixiebob,Cat
46,Ragamuffin,Cat
47,Ragdoll,Cat
48,Russian Blue,Cat
49,Scottish Fold,Cat
50,Selkirk Rex,Cat
51,Siamese,Cat
52,Siberian,Cat
53,Silver,Cat
54,Singapura,Cat
55,Snowshoe,Cat
56,Somali,Cat
57,Sphynx / Hairless Cat,Cat
58,Tabby,Cat
59,Tiger,Cat
60,Tonkinese,Cat
61,Torbie,Cat
62,Tortoiseshell,Cat
63,Toyger,Cat
64,Turkish Angora,Cat
65,Turkish Van,Cat
66,Tuxedo,Cat
67,York Chocolate,Cat
